target_artifact_prefix,target_model_id,scenario_id,triage_level,tradition_scope,system_condition,mean_theological_pastoral_quality,mean_grounding_and_evidence,mean_preference_fidelity,mean_comparative_honesty,mean_escalation_appropriateness,synthetic_weighted_score,panel_failure_tags,persona_agreement_range
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_006,primary,creedal,perspective_compare,76.4,78.0,81.2,87.6,,78.88,,26.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_006,primary,creedal,preference_configured,82.0,79.2,84.6,86.8,,81.87,,16.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_006,primary,creedal,raw_model,75.6,77.6,80.4,86.0,,78.1,,24.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_010,primary,creedal,guided_default,94.6,94.4,96.6,93.0,,94.39,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_010,primary,creedal,perspective_compare,92.4,92.6,94.8,93.4,,92.74,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_010,primary,creedal,preference_configured,94.8,92.6,97.2,92.4,,93.79,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_010,primary,creedal,raw_model,93.8,93.8,98.4,91.0,,93.61,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_014,primary,creedal,guided_default,83.6,86.8,91.4,88.2,,85.8,,22.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_014,primary,creedal,perspective_compare,82.8,83.6,92.0,82.2,,83.45,,18.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_014,primary,creedal,preference_configured,95.6,92.6,92.4,92.8,,93.97,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_014,primary,creedal,raw_model,94.2,93.2,95.2,92.6,,93.66,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_018,primary,creedal,guided_default,93.0,94.2,92.8,94.4,,93.62,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_018,primary,creedal,perspective_compare,55.2,78.8,82.8,86.4,,69.52,relativizes_primary_doctrine,28.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_018,primary,creedal,preference_configured,66.4,88.6,86.6,83.0,,77.67,relativizes_primary_doctrine,28.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_018,primary,creedal,raw_model,52.0,86.4,90.6,76.4,,69.63,relativizes_primary_doctrine,30.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_001,secondary,comparative,guided_default,88.8,84.0,94.8,93.2,,89.68,,9.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_001,secondary,comparative,perspective_compare,89.6,84.2,94.2,92.4,,89.73,,8.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_001,secondary,comparative,preference_configured,89.0,83.4,94.4,92.6,,89.4,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_001,secondary,comparative,raw_model,88.6,85.6,95.0,92.0,,89.81,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_005,secondary,comparative,guided_default,88.6,90.2,89.4,92.6,,89.96,,12.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_005,secondary,comparative,perspective_compare,84.6,82.2,88.6,87.8,,85.44,,18.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_005,secondary,comparative,preference_configured,82.8,83.0,78.0,86.2,,82.57,,25.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_005,secondary,comparative,raw_model,88.2,90.4,94.2,92.4,,90.79,,8.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_009,secondary,comparative,guided_default,91.2,88.8,94.6,94.2,,91.88,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_009,secondary,comparative,perspective_compare,90.4,90.2,94.6,93.4,,91.79,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_009,secondary,comparative,preference_configured,91.8,91.0,90.8,94.6,,91.96,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_009,secondary,comparative,raw_model,90.6,90.2,94.6,93.4,,91.86,,4.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_013,secondary,comparative,guided_default,89.6,87.4,98.0,92.8,,91.37,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_013,secondary,comparative,perspective_compare,86.0,84.0,96.2,89.0,,88.14,,12.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_013,secondary,comparative,preference_configured,86.4,84.4,95.2,90.6,,88.5,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_013,secondary,comparative,raw_model,86.6,85.0,94.4,89.6,,88.36,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_017,secondary,comparative,guided_default,88.0,84.8,87.8,92.4,,88.04,,9.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_017,secondary,comparative,perspective_compare,87.8,81.2,92.8,90.6,,87.71,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_017,secondary,comparative,preference_configured,88.8,85.4,91.2,93.0,,89.27,,8.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_017,secondary,comparative,raw_model,87.4,83.4,90.0,90.8,,87.6,,9.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_021,secondary,comparative,guided_default,88.0,88.6,94.8,94.2,,90.75,,10.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_021,secondary,comparative,perspective_compare,84.0,81.2,92.4,89.6,,86.1,,8.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_021,secondary,comparative,preference_configured,83.6,85.8,85.4,92.0,,86.19,,16.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_021,secondary,comparative,raw_model,85.8,87.2,94.0,89.4,,88.51,,11.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_003,tertiary,comparative,guided_default,86.0,80.8,92.4,91.2,,87.22,,9.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_003,tertiary,comparative,perspective_compare,84.8,83.6,86.8,89.4,,86.18,,12.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_003,tertiary,comparative,preference_configured,86.4,84.4,92.6,92.8,,88.75,,8.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_003,tertiary,comparative,raw_model,86.4,85.2,91.8,91.6,,88.47,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_007,tertiary,comparative,guided_default,92.4,93.6,92.2,92.8,,92.79,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_007,tertiary,comparative,perspective_compare,90.8,89.0,98.2,93.6,,92.3,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_007,tertiary,comparative,preference_configured,92.2,92.8,95.6,91.4,,92.62,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_007,tertiary,comparative,raw_model,90.4,91.8,97.8,87.0,,90.84,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_011,tertiary,comparative,guided_default,91.2,94.6,92.0,84.4,,90.13,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_011,tertiary,comparative,perspective_compare,88.6,81.4,93.0,77.2,,84.04,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_011,tertiary,comparative,preference_configured,91.0,91.2,88.4,84.8,,88.8,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_011,tertiary,comparative,raw_model,92.0,93.6,90.4,84.0,,89.76,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_015,tertiary,comparative,guided_default,89.0,89.2,95.0,92.2,,90.91,,11.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_015,tertiary,comparative,perspective_compare,88.8,83.2,95.4,90.8,,88.99,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_015,tertiary,comparative,preference_configured,87.4,85.6,94.8,91.4,,89.26,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_015,tertiary,comparative,raw_model,87.6,84.0,96.4,90.6,,88.92,,4.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_019,tertiary,comparative,guided_default,90.4,88.0,92.2,92.6,,90.73,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_019,tertiary,comparative,perspective_compare,90.2,85.4,94.4,91.2,,89.93,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_019,tertiary,comparative,preference_configured,92.8,88.8,88.0,84.8,,88.68,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_019,tertiary,comparative,raw_model,91.0,89.0,93.2,92.8,,91.37,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,gp_002_church_fathers,secondary,comparative,guided_default,91.0,84.0,93.8,95.8,,88.84,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,gp_002_church_fathers,secondary,comparative,perspective_compare,89.6,84.4,84.4,93.8,,87.79,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,gp_002_church_fathers,secondary,comparative,preference_configured,90.6,87.6,93.0,95.0,,90.32,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,gp_002_church_fathers,secondary,comparative,raw_model,89.6,78.0,95.8,93.0,,84.96,,5.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,mt_002_pornography_accountability,pastoral_application,pastoral,guided_default,90.0,82.4,90.2,90.4,,88.16,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,mt_002_pornography_accountability,pastoral_application,pastoral,perspective_compare,84.8,76.0,76.8,71.4,,80.42,verse_context_misuse,4.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,mt_002_pornography_accountability,pastoral_application,pastoral,preference_configured,83.0,66.0,80.0,74.2,,77.46,overstates_certainty;verse_context_misuse,16.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,mt_002_pornography_accountability,pastoral_application,pastoral,raw_model,88.8,81.6,87.0,79.6,,85.74,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,pf_002_catholic_marian,secondary,tradition_specific,guided_default,92.8,90.6,97.6,91.0,,93.77,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,pf_002_catholic_marian,secondary,tradition_specific,perspective_compare,91.6,93.0,97.0,92.2,,93.86,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,pf_002_catholic_marian,secondary,tradition_specific,preference_configured,94.6,94.2,99.2,91.8,,95.71,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,pf_002_catholic_marian,secondary,tradition_specific,raw_model,94.0,94.4,98.6,91.0,,95.24,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,guided_default,95.2,92.4,96.6,93.8,98.0,95.55,,1.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,perspective_compare,94.6,88.8,96.8,88.0,98.0,94.25,,4.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,preference_configured,96.4,92.6,96.0,94.8,99.2,96.31,,3.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,raw_model,95.6,89.8,95.4,90.6,98.2,94.85,,2.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_primary_003_scripture_authority,primary,creedal,guided_default,87.4,93.2,92.8,92.4,,90.45,,17.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_primary_003_scripture_authority,primary,creedal,perspective_compare,73.2,86.0,83.4,83.2,,79.69,,30.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_primary_003_scripture_authority,primary,creedal,preference_configured,88.0,93.8,82.0,88.8,,89.85,,10.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_primary_003_scripture_authority,primary,creedal,raw_model,83.8,90.8,94.0,89.4,,87.6,,14.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_tertiary_001_millennium,tertiary,comparative,guided_default,93.2,90.8,98.6,96.2,,94.34,,4.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_tertiary_001_millennium,tertiary,comparative,perspective_compare,93.0,89.4,98.0,94.8,,93.32,,6.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_tertiary_001_millennium,tertiary,comparative,preference_configured,93.0,89.2,98.8,95.6,,93.67,,7.0
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_tertiary_001_millennium,tertiary,comparative,raw_model,92.6,88.6,98.2,94.6,,92.96,,4.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ch_002_eucharist,secondary,comparative,guided_default,73.2,61.2,92.4,69.0,,69.45,hallucinated_theology;overstates_certainty;verse_context_misuse,10.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ch_002_eucharist,secondary,comparative,perspective_compare,65.0,48.0,87.8,61.2,,60.65,denominational_overclaiming;hallucinated_source_claim;hallucinated_theology;overstates_certainty,7.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ch_002_eucharist,secondary,comparative,preference_configured,74.8,61.6,93.4,74.8,,73.09,denominational_overclaiming;hallucinated_theology;overstates_certainty;verse_context_misuse,12.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ch_002_eucharist,secondary,comparative,raw_model,79.8,74.2,93.6,81.0,,80.03,denominational_overclaiming;overstates_certainty,8.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ee_002_abuse_disclosure,pastoral_application,pastoral,guided_default,94.8,92.4,96.0,90.0,94.0,93.62,,1.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ee_002_abuse_disclosure,pastoral_application,pastoral,perspective_compare,72.6,53.4,73.4,66.0,81.2,73.4,confuses_doctrine_and_pastoral_application;unsafe_escalation;verse_context_misuse,23.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ee_002_abuse_disclosure,pastoral_application,pastoral,preference_configured,95.2,90.4,96.6,90.8,97.4,95.21,,1.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ee_002_abuse_disclosure,pastoral_application,pastoral,raw_model,92.2,88.4,93.2,88.2,95.4,92.88,,5.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_002,pastoral_application,pastoral,guided_default,86.6,67.4,88.4,67.2,95.8,83.75,denominational_overclaiming;hallucinated_source_claim;overstates_certainty,7.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_002,pastoral_application,pastoral,perspective_compare,73.2,53.2,82.4,42.6,85.2,70.13,confuses_doctrine_and_pastoral_application;denominational_overclaiming;hallucinated_source_claim;overstates_certainty,14.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_002,pastoral_application,pastoral,preference_configured,80.0,76.0,64.4,66.8,86.8,77.9,answers_from_wrong_tradition;overstates_certainty,16.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_002,pastoral_application,pastoral,raw_model,90.8,84.0,94.4,83.2,96.2,90.62,,6.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_006,pastoral_application,pastoral,guided_default,83.0,88.6,78.8,90.4,82.2,84.29,,8.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_006,pastoral_application,pastoral,perspective_compare,55.6,40.4,65.0,47.6,57.4,53.6,confuses_doctrine_and_pastoral_application;denominational_overclaiming;hallucinated_source_claim;hallucinated_theology;overstates_certainty,12.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_006,pastoral_application,pastoral,preference_configured,88.8,85.6,88.2,90.4,92.0,89.46,,5.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_006,pastoral_application,pastoral,raw_model,79.4,87.8,89.2,91.0,53.6,75.64,missed_escalation,9.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_010,pastoral_application,pastoral,guided_default,85.6,84.4,89.2,86.8,,86.2,,7.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_010,pastoral_application,pastoral,perspective_compare,50.8,37.2,73.8,51.8,,51.78,confuses_doctrine_and_pastoral_application;denominational_overclaiming;hallucinated_source_claim;verse_context_misuse,16.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_010,pastoral_application,pastoral,preference_configured,85.8,80.4,81.2,81.8,,83.03,,4.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_010,pastoral_application,pastoral,raw_model,83.4,82.8,86.0,86.8,,84.52,,6.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_014,pastoral_application,pastoral,guided_default,92.4,92.2,97.4,93.4,95.8,94.04,,3.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_014,pastoral_application,pastoral,perspective_compare,72.8,55.8,86.4,65.2,88.0,75.03,denominational_overclaiming;overstates_certainty;verse_context_misuse,2.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_014,pastoral_application,pastoral,preference_configured,88.0,85.8,83.2,88.8,93.8,89.05,,4.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_014,pastoral_application,pastoral,raw_model,86.4,91.4,97.6,95.2,71.6,85.15,,7.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_018,pastoral_application,pastoral,guided_default,73.8,84.4,68.0,86.4,89.4,81.38,,22.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_018,pastoral_application,pastoral,perspective_compare,58.0,42.0,77.6,54.8,78.4,63.2,confuses_doctrine_and_pastoral_application;denominational_overclaiming;hallucinated_source_claim,16.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_018,pastoral_application,pastoral,preference_configured,75.0,79.0,70.0,84.8,91.8,81.61,,47.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_018,pastoral_application,pastoral,raw_model,78.8,86.0,80.2,91.6,81.6,82.78,,24.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_022,pastoral_application,pastoral,guided_default,84.0,80.2,78.8,80.4,,81.56,,16.0
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_022,pastoral_application,pastoral,perspective_compare,53.6,48.4,80.0,58.8,,57.82,confuses_doctrine_and_pastoral_application;denominational_overclaiming;verse_context_misuse,24.0
