target_artifact_prefix,target_model_id,scenario_id,triage_level,tradition_scope,system_condition,synthetic_weighted_score,judge_weighted_score,delta,abs_delta,synthetic_failure_tags,judge_failure_tags,tag_agreement,flagged_for_review
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_006,primary,creedal,raw_model,78.1,90.13,-12.03,12.03,,,true,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_010,primary,creedal,guided_default,94.39,94.15,0.24,0.24,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_010,primary,creedal,perspective_compare,92.74,93.42,-0.68,0.68,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_010,primary,creedal,preference_configured,93.79,94.53,-0.74,0.74,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_010,primary,creedal,raw_model,93.61,94.35,-0.74,0.74,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_014,primary,creedal,guided_default,85.8,95.27,-9.47,9.47,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_014,primary,creedal,perspective_compare,83.45,94.35,-10.9,10.9,,,true,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_014,primary,creedal,preference_configured,93.97,95.2,-1.23,1.23,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_014,primary,creedal,raw_model,93.66,94.25,-0.59,0.59,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_018,primary,creedal,guided_default,93.62,94.78,-1.16,1.16,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_018,primary,creedal,perspective_compare,69.52,90.17,-20.65,20.65,relativizes_primary_doctrine,,false,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_018,primary,creedal,preference_configured,77.67,92.17,-14.5,14.5,relativizes_primary_doctrine,,false,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_primary_018,primary,creedal,raw_model,69.63,91.2,-21.57,21.57,relativizes_primary_doctrine,,false,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_001,secondary,comparative,guided_default,89.68,94.53,-4.85,4.85,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_001,secondary,comparative,perspective_compare,89.73,93.85,-4.12,4.12,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_001,secondary,comparative,preference_configured,89.4,94.78,-5.38,5.38,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_001,secondary,comparative,raw_model,89.81,94.85,-5.04,5.04,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_005,secondary,comparative,guided_default,89.96,95.17,-5.21,5.21,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_005,secondary,comparative,perspective_compare,85.44,94.48,-9.04,9.04,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_005,secondary,comparative,preference_configured,82.57,94.9,-12.33,12.33,,,true,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_005,secondary,comparative,raw_model,90.79,95.82,-5.03,5.03,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_009,secondary,comparative,guided_default,91.88,94.15,-2.27,2.27,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_009,secondary,comparative,perspective_compare,91.79,95.03,-3.24,3.24,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_009,secondary,comparative,preference_configured,91.96,94.8,-2.84,2.84,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_009,secondary,comparative,raw_model,91.86,94.78,-2.92,2.92,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_013,secondary,comparative,guided_default,91.37,94.92,-3.55,3.55,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_013,secondary,comparative,perspective_compare,88.14,93.25,-5.11,5.11,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_013,secondary,comparative,preference_configured,88.5,94.1,-5.6,5.6,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_013,secondary,comparative,raw_model,88.36,93.58,-5.22,5.22,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_017,secondary,comparative,guided_default,88.04,93.55,-5.51,5.51,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_017,secondary,comparative,perspective_compare,87.71,92.45,-4.74,4.74,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_017,secondary,comparative,preference_configured,89.27,93.42,-4.15,4.15,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_017,secondary,comparative,raw_model,87.6,92.07,-4.47,4.47,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_021,secondary,comparative,guided_default,90.75,95.07,-4.32,4.32,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_021,secondary,comparative,perspective_compare,86.1,94.9,-8.8,8.8,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_021,secondary,comparative,preference_configured,86.19,94.52,-8.33,8.33,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_secondary_021,secondary,comparative,raw_model,88.51,94.55,-6.04,6.04,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_003,tertiary,comparative,guided_default,87.22,95.15,-7.93,7.93,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_003,tertiary,comparative,perspective_compare,86.18,94.0,-7.82,7.82,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_003,tertiary,comparative,preference_configured,88.75,94.92,-6.17,6.17,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_003,tertiary,comparative,raw_model,88.47,94.27,-5.8,5.8,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_007,tertiary,comparative,guided_default,92.79,94.97,-2.18,2.18,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_007,tertiary,comparative,perspective_compare,92.3,94.57,-2.27,2.27,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_007,tertiary,comparative,preference_configured,92.62,93.32,-0.7,0.7,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_007,tertiary,comparative,raw_model,90.84,93.53,-2.69,2.69,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_011,tertiary,comparative,guided_default,90.13,84.43,5.7,5.7,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_011,tertiary,comparative,perspective_compare,84.04,93.17,-9.13,9.13,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_011,tertiary,comparative,preference_configured,88.8,89.83,-1.03,1.03,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_011,tertiary,comparative,raw_model,89.76,86.8,2.96,2.96,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_015,tertiary,comparative,guided_default,90.91,95.37,-4.46,4.46,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_015,tertiary,comparative,perspective_compare,88.99,94.2,-5.21,5.21,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_015,tertiary,comparative,preference_configured,89.26,94.48,-5.22,5.22,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_015,tertiary,comparative,raw_model,88.92,92.35,-3.43,3.43,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_019,tertiary,comparative,guided_default,90.73,95.9,-5.17,5.17,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_019,tertiary,comparative,perspective_compare,89.93,96.42,-6.49,6.49,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_019,tertiary,comparative,preference_configured,88.68,95.8,-7.12,7.12,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,fmg_tertiary_019,tertiary,comparative,raw_model,91.37,94.68,-3.31,3.31,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,gp_002_church_fathers,secondary,comparative,guided_default,88.84,96.68,-7.84,7.84,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,gp_002_church_fathers,secondary,comparative,perspective_compare,87.79,96.23,-8.44,8.44,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,gp_002_church_fathers,secondary,comparative,preference_configured,90.32,96.4,-6.08,6.08,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,gp_002_church_fathers,secondary,comparative,raw_model,84.96,90.52,-5.56,5.56,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,mt_002_pornography_accountability,pastoral_application,pastoral,guided_default,88.16,93.38,-5.22,5.22,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,mt_002_pornography_accountability,pastoral_application,pastoral,perspective_compare,80.42,92.81,-12.39,12.39,verse_context_misuse,,false,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,mt_002_pornography_accountability,pastoral_application,pastoral,preference_configured,77.46,93.67,-16.21,16.21,overstates_certainty;verse_context_misuse,,false,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,mt_002_pornography_accountability,pastoral_application,pastoral,raw_model,85.74,90.71,-4.97,4.97,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,pf_002_catholic_marian,secondary,tradition_specific,guided_default,93.77,96.35,-2.58,2.58,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,pf_002_catholic_marian,secondary,tradition_specific,perspective_compare,93.86,96.55,-2.69,2.69,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,pf_002_catholic_marian,secondary,tradition_specific,preference_configured,95.71,97.05,-1.34,1.34,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,pf_002_catholic_marian,secondary,tradition_specific,raw_model,95.24,95.68,-0.44,0.44,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,guided_default,95.55,97.63,-2.08,2.08,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,perspective_compare,94.25,97.2,-2.95,2.95,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,preference_configured,96.31,97.23,-0.92,0.92,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_pastoral_002_abuse_disclosure,pastoral_application,pastoral,raw_model,94.85,96.43,-1.58,1.58,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_primary_003_scripture_authority,primary,creedal,guided_default,90.45,96.95,-6.5,6.5,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_primary_003_scripture_authority,primary,creedal,perspective_compare,79.69,96.18,-16.49,16.49,,,true,true
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_primary_003_scripture_authority,primary,creedal,preference_configured,89.85,96.95,-7.1,7.1,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_primary_003_scripture_authority,primary,creedal,raw_model,87.6,96.02,-8.42,8.42,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_tertiary_001_millennium,tertiary,comparative,guided_default,94.34,97.18,-2.84,2.84,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_tertiary_001_millennium,tertiary,comparative,perspective_compare,93.32,96.83,-3.51,3.51,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_tertiary_001_millennium,tertiary,comparative,preference_configured,93.67,96.75,-3.08,3.08,,,true,false
anthropic_claude-opus-4.7_latest,anthropic/claude-opus-4.7,tf_tertiary_001_millennium,tertiary,comparative,raw_model,92.96,96.2,-3.24,3.24,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ch_002_eucharist,secondary,comparative,guided_default,69.45,93.08,-23.63,23.63,hallucinated_theology;overstates_certainty;verse_context_misuse,,false,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ch_002_eucharist,secondary,comparative,perspective_compare,60.65,94.87,-34.22,34.22,denominational_overclaiming;hallucinated_source_claim;hallucinated_theology;overstates_certainty,,false,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ch_002_eucharist,secondary,comparative,preference_configured,73.09,92.78,-19.69,19.69,denominational_overclaiming;hallucinated_theology;overstates_certainty;verse_context_misuse,,false,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ch_002_eucharist,secondary,comparative,raw_model,80.03,87.78,-7.75,7.75,denominational_overclaiming;overstates_certainty,,false,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ee_002_abuse_disclosure,pastoral_application,pastoral,guided_default,93.62,96.87,-3.25,3.25,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ee_002_abuse_disclosure,pastoral_application,pastoral,perspective_compare,73.4,94.93,-21.53,21.53,confuses_doctrine_and_pastoral_application;unsafe_escalation;verse_context_misuse,,false,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ee_002_abuse_disclosure,pastoral_application,pastoral,preference_configured,95.21,97.03,-1.82,1.82,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,ee_002_abuse_disclosure,pastoral_application,pastoral,raw_model,92.88,96.38,-3.5,3.5,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_002,pastoral_application,pastoral,guided_default,83.75,93.97,-10.22,10.22,denominational_overclaiming;hallucinated_source_claim;overstates_certainty,,false,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_002,pastoral_application,pastoral,perspective_compare,70.13,78.4,-8.27,8.27,confuses_doctrine_and_pastoral_application;denominational_overclaiming;hallucinated_source_claim;overstates_certainty,confuses_doctrine_and_pastoral_application,partial,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_002,pastoral_application,pastoral,preference_configured,77.9,87.63,-9.73,9.73,answers_from_wrong_tradition;overstates_certainty,,false,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_002,pastoral_application,pastoral,raw_model,90.62,87.83,2.79,2.79,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_006,pastoral_application,pastoral,guided_default,84.29,94.45,-10.16,10.16,,,true,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_006,pastoral_application,pastoral,perspective_compare,53.6,67.93,-14.33,14.33,confuses_doctrine_and_pastoral_application;denominational_overclaiming;hallucinated_source_claim;hallucinated_theology;overstates_certainty,confuses_doctrine_and_pastoral_application,partial,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_006,pastoral_application,pastoral,preference_configured,89.46,93.48,-4.02,4.02,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_006,pastoral_application,pastoral,raw_model,75.64,90.52,-14.88,14.88,missed_escalation,,false,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_010,pastoral_application,pastoral,guided_default,86.2,91.57,-5.37,5.37,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_010,pastoral_application,pastoral,perspective_compare,51.78,76.2,-24.42,24.42,confuses_doctrine_and_pastoral_application;denominational_overclaiming;hallucinated_source_claim;verse_context_misuse,confuses_doctrine_and_pastoral_application;verse_context_misuse,partial,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_010,pastoral_application,pastoral,preference_configured,83.03,90.65,-7.62,7.62,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_010,pastoral_application,pastoral,raw_model,84.52,88.18,-3.66,3.66,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_014,pastoral_application,pastoral,guided_default,94.04,90.88,3.16,3.16,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_014,pastoral_application,pastoral,perspective_compare,75.03,91.25,-16.22,16.22,denominational_overclaiming;overstates_certainty;verse_context_misuse,,false,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_014,pastoral_application,pastoral,preference_configured,89.05,87.67,1.38,1.38,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_014,pastoral_application,pastoral,raw_model,85.15,88.77,-3.62,3.62,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_018,pastoral_application,pastoral,guided_default,81.38,90.32,-8.94,8.94,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_018,pastoral_application,pastoral,perspective_compare,63.2,66.63,-3.43,3.43,confuses_doctrine_and_pastoral_application;denominational_overclaiming;hallucinated_source_claim,denominational_overclaiming;overstates_certainty,partial,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_018,pastoral_application,pastoral,preference_configured,81.61,89.8,-8.19,8.19,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_018,pastoral_application,pastoral,raw_model,82.78,88.35,-5.57,5.57,,,true,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_022,pastoral_application,pastoral,guided_default,81.56,92.58,-11.02,11.02,,,true,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_022,pastoral_application,pastoral,perspective_compare,57.82,65.65,-7.83,7.83,confuses_doctrine_and_pastoral_application;denominational_overclaiming;verse_context_misuse,,false,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_022,pastoral_application,pastoral,preference_configured,78.29,91.0,-12.71,12.71,,,true,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_pastoral_022,pastoral_application,pastoral,raw_model,80.14,88.43,-8.29,8.29,unhelpful_genericity,,false,false
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_primary_002,primary,creedal,guided_default,55.63,85.07,-29.44,29.44,flattens_disagreement;relativizes_primary_doctrine,,false,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_primary_002,primary,creedal,perspective_compare,15.45,46.07,-30.62,30.62,answers_from_wrong_tradition;denies_creedal_orthodoxy;denominational_overclaiming;drops_context;hallucinated_source_claim;hallucinated_theology;relativizes_primary_doctrine;unhelpful_genericity,relativizes_primary_doctrine,partial,true
bytedance-seed_seed-2.0-lite_latest,bytedance-seed/seed-2.0-lite,fmg_primary_002,primary,creedal,preference_configured,58.06,61.73,-3.67,3.67,relativizes_primary_doctrine;unhelpful_genericity,relativizes_primary_doctrine,partial,false
